Company,Product,TypeName,Inches,ScreenResolution,ScreenType,TouchScreen,CPU_Company,CPU_Type,Frequency_GHz,Frequency_Category,RAM_GB,RAM_Category,Memory,Total_Memory,Memory_Category,GPU_Company,GPU_Type,OpSys,Weight_kg,Price_Rs,Price_Category
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,IPS Panel Retina Display,No,Intel,Core i5,2.3,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,Iris Plus Graphics 640,macOS,1.37,135967,High Budget
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon R5 M430,Windows 10,2.2,66729,Average Budget
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,IPS Panel Retina Display,No,Intel,Core i7,2.9,High Frequency,16,Average RAM,512GB SSD,512,Low Memory,AMD,Radeon Pro 560,macOS,1.83,255991,High Budget
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 7100U,2.4,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce 940MX,No OS,2.2,44695,Average Budget
Dell,XPS 13,Ultrabook,13.3,1920x1080,IPS Panel Full HD / Touchscreen,Yes,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,128GB SSD,128,Low Memory,Intel,UHD Graphics 620,Windows 10,1.22,87689,High Budget
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Not Specified,No,Intel,Atom x5-Z8350,1.44,Low Frequency,2,Low RAM,32GB Flash Storage,32,Low Memory,Intel,HD Graphics 400,Windows 10,0.98,17107,Low Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i5 7300HQ,2.5,Average Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1050,Windows 10,2.5,89480,High Budget
HP,255 G6,Notebook,15.6,1366x768,Not Specified,No,AMD,E-Series E2-9000e,1.5,Low Frequency,4,Low RAM,500GB HDD,500,Low Memory,AMD,Radeon R2,No OS,1.86,23109,Low Budget
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Full HD / Touchscreen,Yes,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.62,73357,High Budget
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.91,59026,Average Budget
Dell,Inspiron 3567,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 520,Windows 10,2.3,37440,Low Budget
Apple,MacBook Air,Ultrabook,13.3,1440x900,Not Specified,No,Intel,Core i5,1.6,Low Frequency,8,Average RAM,128GB Flash Storage,128,Low Memory,Intel,HD Graphics 6000,Mac OS X,1.35,98437,High Budget
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon 530,Windows 10,2.2,71656,High Budget
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Full HD,No,Intel,Core i7 8650U,1.9,Average Frequency,8,Average RAM,256GB SSD +  256GB SSD,512,Low Memory,Intel,UHD Graphics 620,Windows 10,1.88,116261,High Budget
HP,ProBook 470,Notebook,17.3,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce 930MX,Windows 10,2.5,80254,High Budget
Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,Full HD,No,Intel,Atom x5-Z8300,1.44,Low Frequency,4,Low RAM,64GB Flash Storage,64,Low Memory,Intel,HD Graphics,Windows 10,1.89,21855,Low Budget
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,Not Specified,No,AMD,E-Series E2-6110,1.5,Low Frequency,2,Low RAM,32GB Flash Storage,32,Low Memory,AMD,Radeon R2,Windows 10,1.65,17824,Low Budget
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,1920x1080,Full HD,No,AMD,A6-Series 9220,2.5,Average Frequency,4,Low RAM,500GB HDD,500,Low Memory,AMD,Radeon 530,Windows 10,2.71,39321,Low Budget
Dell,XPS 13,Ultrabook,13.3,3200x1800,Touchscreen / Quad HD+,Yes,Intel,Core i7 8550U,1.8,Low Frequency,16,Average RAM,512GB SSD,512,Low Memory,Intel,UHD Graphics 620,Windows 10,1.2,167406,High Budget
Apple,MacBook Air,Ultrabook,13.3,1440x900,Not Specified,No,Intel,Core i5,1.6,Low Frequency,8,Average RAM,256GB Flash Storage,256,Low Memory,Intel,HD Graphics 6000,Mac OS X,1.35,89390,High Budget
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Not Specified,No,Intel,Celeron Dual Core N3350,1.1,Low Frequency,4,Low RAM,64GB Flash Storage,64,Low Memory,Intel,HD Graphics 500,Windows 10,1.44,22302,Low Budget
Acer,Aspire 3,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i3 7130U,2.7,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 620,Linux,2.1,32872,Low Budget
Dell,Inspiron 5770,Notebook,17.3,1920x1080,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,AMD,Radeon 530,Windows 10,2.8,87689,High Budget
HP,250 G6,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i5 7200U,2.5,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 620,Windows 10,1.86,43710,Average Budget
HP,ProBook 450,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce 930MX,Windows 10,2.1,78732,High Budget
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 620,Linux,2.0,34842,Low Budget
Dell,Inspiron 7577,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce GTX 1060,Windows 10,2.65,134265,High Budget
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce 940MX,Linux,2.3,46755,Average Budget
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,4,Low RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,2.2,61086,Average Budget
Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,Full HD / Touchscreen,Yes,Intel,Core i5 8250U,1.6,Low Frequency,12,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce 150MX,Windows 10,2.77,89480,High Budget
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,IPS Panel Retina Display,No,Intel,Core i5,2.0,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,Iris Graphics 540,macOS,1.37,127099,High Budget
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,Intel,HD Graphics 520,No OS,2.2,33051,Low Budget
Asus,Rog Strix,Gaming,17.3,1920x1080,Full HD,No,AMD,Ryzen 1700,3.0,High Frequency,8,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,AMD,Radeon RX 580,Windows 10,3.2,116351,High Budget
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,4,Low RAM,256GB SSD,256,Low Memory,AMD,Radeon R5 M430,Windows 10,2.3,57235,Average Budget
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Not Specified,No,Intel,Pentium Quad Core N4200,1.1,Low Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce 920MX,Windows 10,2.8,41739,Average Budget
Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,IPS Panel Touchscreen,Yes,Intel,Atom x5-Z8550,1.44,Low Frequency,4,Low RAM,64GB Flash Storage,64,Low Memory,Intel,HD Graphics 400,Android,0.69,28572,Low Budget
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce MX150,Windows 10,2.2,75328,High Budget
HP,255 G6,Notebook,15.6,1920x1080,Full HD,No,AMD,A6-Series 9220,2.5,Average Frequency,4,Low RAM,256GB SSD,256,Low Memory,AMD,Radeon R4 Graphics,Windows 10,1.86,35648,Low Budget
HP,ProBook 430,Notebook,13.3,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,512GB SSD,512,Low Memory,Intel,UHD Graphics 620,Windows 10,1.49,98795,High Budget
Acer,Aspire 3,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i3 7100U,2.4,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 620,Windows 10,2.4,34394,Low Budget
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon 520,Windows 10,2.13,68700,Average Budget
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,Intel,HD Graphics 520,Windows 10,1.91,39321,Low Budget
Asus,VivoBook Max,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i5 7200U,2.5,Average Frequency,4,Low RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,2.0,52488,Average Budget
MSI,GS73VR 7RG,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,256GB SSD +  2TB HDD,2304,High Memory,Nvidia,GeForce GTX 1070,Windows 10,2.43,219356,High Budget
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 520,Linux,2.0,37171,Low Budget
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,16,Average RAM,256GB SSD +  2TB HDD,2304,High Memory,AMD,Radeon 530,Windows 10,2.8,116351,High Budget
Dell,Vostro 5471,Ultrabook,14.0,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.7,78732,High Budget
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i3 7130U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,No OS,1.7,53652,Average Budget
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.4,84285,High Budget
HP,250 G6,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.86,61803,Average Budget
Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,Nvidia,GeForce GTX 1050 Ti,Windows 10,1.8,177617,High Budget
HP,250 G6,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,500GB HDD,500,Low Memory,AMD,Radeon 520,Windows 10,1.86,39231,Low Budget
HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Not Specified,No,Intel,Celeron Dual Core N3060,1.6,Low Frequency,4,Low RAM,32GB SSD,32,Low Memory,Intel,HD Graphics 400,Windows 10,1.44,20511,Low Budget
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 620,Windows 10,1.9,49173,Average Budget
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,12,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce GTX 1050 Ti,Linux,3.0,85001,High Budget
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Touchscreen,Yes,Intel,Core i5 7200U,2.5,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,Intel,HD Graphics 620,Windows 10 S,1.252,97541,High Budget
Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon 530,Windows 10,1.4,85539,High Budget
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon 530,Windows 10,2.2,77925,High Budget
MSI,GL72M 7RDX,Gaming,17.3,1920x1080,Full HD,No,Intel,Core i5 7300HQ,2.5,Average Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1050,Windows 10,2.7,98079,High Budget
Acer,Aspire E5-475,Notebook,14.0,1366x768,Not Specified,No,Intel,Core i3 6006U,2.0,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 520,Windows 10,2.1,34842,Low Budget
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce GTX 1050,Windows 10,2.2,85001,High Budget
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,2TB HDD,2048,High Memory,Intel,HD Graphics 620,No OS,2.2,46486,Average Budget
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Intel,UHD Graphics 620,Windows 10,2.02,76582,High Budget
Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 7130U,2.7,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce MX130,Windows 10,2.2,47472,Average Budget
HP,ProBook 470,Notebook,17.3,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce 930MX,Windows 10,2.5,87509,High Budget
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.88,98168,High Budget
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,IPS Panel Retina Display,No,Intel,Core i5,1.3,Low Frequency,8,Average RAM,512GB SSD,512,Low Memory,Intel,HD Graphics 615,macOS,0.92,135250,High Budget
HP,ProBook 440,Notebook,14.0,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.63,77030,High Budget
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,Full HD,No,AMD,A6-Series 9220,2.5,Average Frequency,4,Low RAM,128GB SSD,128,Low Memory,AMD,R4 Graphics,Windows 10,2.2,35738,Low Budget
Acer,Aspire 3,Notebook,15.6,1366x768,Not Specified,No,AMD,A9-Series 9420,3.0,High Frequency,4,Low RAM,1TB HDD,1024,Average Memory,AMD,Radeon R5,Windows 10,2.1,35380,Low Budget
Dell,Inspiron 7577,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.65,120829,High Budget
HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce GTX 940MX,Windows 10,1.83,62609,Average Budget
HP,250 G6,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.96,53562,Average Budget
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1060,Windows 10,2.2,129786,High Budget
Dell,XPS 13,Ultrabook,13.3,1920x1080,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.21,147700,High Budget
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,1920x1080,Full HD,No,AMD,FX 9830P,3.0,High Frequency,8,Average RAM,1TB HDD,1024,Average Memory,AMD,Radeon RX 560,Windows 10,2.45,62609,Average Budget
Acer,Aspire 5,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,8,Average RAM,1TB HDD,1024,Average Memory,Nvidia,GeForce MX150,Windows 10,2.2,61713,Average Budget
HP,Probook 430,Notebook,13.3,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,16,Average RAM,512GB SSD,512,Low Memory,Intel,UHD Graphics 620,Windows 10,1.49,107215,High Budget
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Full HD,No,Intel,Core i5 7300HQ,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce GTX 1060,Windows 10,2.65,107036,High Budget
Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.25,93958,High Budget
Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,IPS Panel Full HD / Touchscreen,Yes,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.5,75865,High Budget
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,1TB HDD,1024,Average Memory,AMD,Radeon R5 M430,Linux,2.2,53652,Average Budget
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,256GB SSD,256,Low Memory,AMD,Radeon R5 M430,Linux,2.2,43441,Average Budget
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 7100U,2.4,Average Frequency,6,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce 920M,Windows 10,2.0,51681,Average Budget
HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,12,Average RAM,128GB SSD +  1TB HDD,1152,High Memory,Nvidia,GeForce GTX 1050,Windows 10,2.62,111872,High Budget
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon 530,Windows 10,1.91,64400,Average Budget
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1920x1080,Full HD,No,AMD,E-Series E2-9000e,1.5,Low Frequency,4,Low RAM,500GB HDD,500,Low Memory,AMD,Radeon R2,Windows 10,2.1,31259,Low Budget
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,1TB HDD,1024,Average Memory,AMD,Radeon 520,Linux,2.2,57951,Average Budget
HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce MX150,Windows 10,1.38,100228,High Budget
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Touchscreen,Yes,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10 S,1.252,120023,High Budget
HP,Pavilion 14-BK001nv,Notebook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,6,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce 940MX,Windows 10,1.58,59026,Average Budget
Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,1TB HDD,1024,Average Memory,Intel,HD Graphics 520,Windows 10,1.85,37081,Low Budget
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Nvidia,GeForce 940MX,Windows 10,1.3,106857,High Budget
MSI,GP62M 7REX,Gaming,15.6,1920x1080,Full HD,No,Intel,Core i7 7700HQ,2.8,Average Frequency,16,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.2,116351,High Budget
Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,Windows 10,1.58,132563,High Budget
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,16,Average RAM,256GB SSD +  1TB HDD,1280,High Memory,Nvidia,GeForce MX150,Windows 10,1.5,113037,High Budget
Dell,XPS 13,Ultrabook,13.3,3200x1800,Quad HD+ / Touchscreen,Yes,Intel,Core i7 7560U,2.4,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,Iris Plus Graphics 640,Windows 10,1.23,123517,High Budget
